Category	Title	Link	Title1	Link1	Title2	Link2
Leadership	20Books Vegas 2023: Level Up Your Author Business	https://youtu.be/oi8ccDuDizE	Vegas 2022 - Opening Ceremony & High Powered Authors Panel	https://youtu.be/YHyiwwKlcD4	Vegas 2021 - Scaling Up Your Author Career	https://youtu.be/p-OZJ-IIVOg
Leadership	Opening Ceremony & High Powered Authors Panel	https://youtu.be/YHyiwwKlcD4	Vegas 2022 - Children's Books	https://youtu.be/5ZcRZS7EJEI	Vegas 2021 - Clean & Wholesome Romance	https://youtu.be/VZxz0EDVPqg
Leadership	The Author's Journey Begins at the End of Your Comfort Zone	https://youtu.be/wNKQzyYQpnI	Vegas 2022 - Better Readthrough, Higher Royalties	https://youtu.be/A-kCJ_Ad0vI	Vegas 2021 - How to Do a Photo Shoot for Your Cover, Ads & Brand	https://youtu.be/lfG1MLy-9Y0
Leadership	Going For What You Want	https://youtu.be/ZTEgzOqeNjo	Vegas 2022 - Audiobooks vs. Audio Dramatization	https://youtu.be/NeuqvRQj3dM	Vegas 2021 - Jami Albright - Wish I’d Known Then About Indie Publishing	https://youtu.be/ePQbGq_NhSc
Leadership	Burnout Recovery and The Ladder Out	https://youtu.be/MiaPNUwV8SM	Vegas 2022 - Increase Your Sales at Google Play Books and Apple Books	https://youtu.be/jOzIvaro8b8	Vegas 2021 - Kevin J. Anderson - Perfect Storm: Indie Publishing Happened	https://youtu.be/0tzZKySey5g
Leadership	How to Become the CEO of Your Author Business	https://youtu.be/B6RhTP0b6_g	Vegas 2022 - Evergreen: Keep People Signed Up to Your Newsletter	https://youtu.be/yil4LZsakj8	Vegas 2021 - Amazon A+ Content	https://youtu.be/mzhIVq2iAvQ
Leadership	The Power and the Pitfalls of Publishing	https://youtu.be/o7ZEb7-UwTU	Vegas 2022 - Production and Motivation	https://youtu.be/uA1rkFZ3Uqg	Vegas 2019 - Maximized Blurbification	https://youtu.be/PaCjmxZJJo0
Leadership	Production and Motivation	https://youtu.be/uA1rkFZ3Uqg	Vegas 2022 - Author Success Archetypes	https://youtu.be/K9rIrW0sKXQ	Vegas 2019 - Amazon Ads 101	https://youtu.be/3uoVAKCosz4
Leadership	Author Success Archetypes	https://youtu.be/K9rIrW0sKXQ	Vegas 2022 - Full-Time Living Off Fewer Than One Book a Year	https://youtu.be/QSdnWwQAFXw	Vegas 2019 - Productivity	https://youtu.be/aHdTrcsaxuw
Leadership	When a Small Press and Traditional Publisher Collaborate	https://youtu.be/0F68hNi3G6Q	Vegas 2022 - Working Through Adversity	https://youtu.be/Y2rvSHjrUdA	Vegas 2019 - From Author to Empire	https://youtu.be/iMtBryz7ODE
Leadership	Working Through Adversity	https://youtu.be/Y2rvSHjrUdA	Vegas 2022 - IASFA - Membership Meeting	https://youtu.be/8O07WXe75TE	Vegas 2019 - Ask Us Anything	https://youtu.be/QzjcWkbxwVM
Leadership	IASFA - Membership Meeting	https://youtu.be/8O07WXe75TE	Vegas 2022 - Keynote Speech - Michael Anderle	https://youtu.be/a7dJebWxUFI	Vegas 2019 - Industry Representatives	https://youtu.be/9iZ6FkzdtqE
Leadership	Keynote Speech - Michael Anderle	https://youtu.be/a7dJebWxUFI	Vegas 2022 - Black Ice - How to Survive When Your Career Goes into an Unexpected Spin	https://youtu.be/UZdPy6sRahA	Vegas 2019 - High Powered Authors	https://youtu.be/YiGkwsiO2U4
Leadership	Black Ice - How to Survive When Your Career Goes into an Unexpected Spin	https://youtu.be/UZdPy6sRahA	Vegas 2022 - Getting the Technology & Science Right for Novels	https://youtu.be/79-8W-SVGTc	Vegas 2019 - Productivity	https://youtu.be/aHdTrcsaxuw
